arm,mu,sigma
1p,0.0314190414163784,0.0040845074500837
1q,-0.00020853124661033,0.00383440850189692
2p,0.0242823228816002,0.00427714940205926
2q,0.0296537955358382,0.00248729311669176
3p,0.0337541745434046,0.00288973821751337
3q,0.0135630252319162,0.00315087052515618
4p,0.0112615592315982,0.00591787722191375
4q,-0.00961295314765985,0.00389564715383696
5p,-0.0187074398497113,0.00730823615914343
5q,0.0171459876589542,0.0023203358440062
6p,0.005681482672396,0.00703084569539241
6q,0.00460817732567575,0.00282362023328848
7p,-0.0187757856385658,0.00277668179827102
7q,-0.0806093731305588,0.00412307001201489
8p,0.00179646762397836,0.00556102027108939
8q,0.037943073856386,0.00301884243471973
9p,-0.00771926436476898,0.00606252674054916
9q,0.016806162760649,0.00497342595119417
10p,-0.0294910749956172,0.00693579157808983
10q,0.0295839881593125,0.00368172217002632
11p,-0.0118821443810172,0.00480418285417323
11q,0.0198278913017836,0.00266066940732133
12p,-0.0349033415150981,0.00541229274487168
12q,0.014341783071761,0.0024845181590617
13q,0.0114889311499166,0.00353438946643332
14q,0.0227371464276175,0.00246012656874355
15q,0.0129046653898367,0.00482189797961282
16p,-0.0278296479536943,0.0129314247140309
16q,0.041430183710407,0.00661124065465656
17p,-0.0253093420468661,0.00770387827226966
17q,-0.0319360623459578,0.00602447570771424
18p,-0.0976232636372515,0.00860939141042089
18q,0.0503589762144133,0.00452133439724832
19p,-0.161111618703338,0.0151565314773582
19q,-0.133214916965032,0.0144594355756007
20p,0.0778142303053395,0.00672467800361891
20q,0.0846830601648916,0.00577400665394675
21q,0.0158680371294077,0.00559207747542312
22q,0.0799805961582858,0.00520639700290912
