arm,mu,sigma
1p,0.0258348654428235,0.00483238434888872
1q,-0.00415979765810656,0.0037607904632918
2p,0.0132516407388614,0.0044889818625779
2q,0.0191242253902947,0.00247749017600489
3p,0.0297394973390035,0.00318237847375952
3q,0.00996731686958693,0.00332690608002911
4p,0.00763558355102026,0.00653511314718961
4q,-0.00574981586328388,0.00399609335073304
5p,-0.0127666345775382,0.00753440245564935
5q,0.0124997764346183,0.00281278879869011
6p,-0.00155248373085861,0.00705537393519382
6q,0.00377968914968146,0.00238981228215692
7p,-0.0102201874088932,0.00290669175600969
7q,-0.059467475868289,0.00307358541646904
8p,-0.00599708971132083,0.00676320841627167
8q,0.0293881267600776,0.00223104736101362
9p,-0.00288072065770708,0.00635965806876882
9q,0.0136270359213025,0.00481819841777179
10p,-0.0232903441324712,0.00666527915120611
10q,0.0222242808582083,0.0038952911174348
11p,0.00222586901511902,0.00441025903671333
11q,0.019008721035725,0.00270950117688754
12p,-0.0273390078077606,0.00683713151718102
12q,0.00768066610200992,0.00206512824471026
13q,0.00365436463038842,0.00294275245722682
14q,0.0169103159262554,0.00272139144922843
15q,0.00790861477222916,0.00546178837910413
16p,-0.0276549792815675,0.0141085198253249
16q,0.0324346098396346,0.00677464957590137
17p,-0.0310332759119787,0.00906595745402663
17q,-0.0263248304219207,0.00596711627454827
18p,-0.055717049331508,0.00624971074224025
18q,0.0324842961694501,0.00460348317587612
19p,-0.129829546676655,0.0154881138845386
19q,-0.087999482234402,0.0140517826551477
20p,0.0631200026905121,0.00676839450625442
20q,0.0617530099712073,0.00758899285813986
21q,0.0105278455752994,0.00495988004817379
22q,0.0672023670909516,0.0064521330129808
