gc,target,w
0.2,31,100
0.21,43,100
0.22,58,100
0.23,79,100
0.24,94,100
0.25,132,100
0.26,166,100
0.27,195,100
0.28,224,100
0.29,255,100
0.3,252,100
0.31,281,100
0.32,352,100
0.33,319,100
0.34,349,100
0.35,383,100
0.36,382,100
0.37,375,100
0.38,349,100
0.39,382,100
0.4,389,100
0.41,352,100
0.42,329,100
0.43,281,100
0.44,326,100
0.45,285,100
0.46,301,100
0.47,267,100
0.48,280,100
0.49,244,100
0.5,229,100
0.51,226,100
0.52,178,100
0.53,172,100
0.54,183,100
0.55,170,100
0.56,156,100
0.57,143,100
0.58,106,100
0.59,89,100
0.6,84,100
0.61,72,100
0.62,68,100
0.63,51,100
0.64,29,100
0.65,35,100
0.66,38,100
0.67,25,100
0.68,10,100
0.69,14,100
0.7,14,100
0.71,7,100
0.72,5,100
0.73,10,100
0.74,3,100
0.75,4,100
0.76,3,100
0.77,3,100
0.78,5,100
0.79,3,100
0.8,1,100
0.2,24,101
0.21,41,101
0.22,53,101
0.23,70,101
0.24,88,101
0.25,126,101
0.26,156,101
0.27,187,101
0.28,213,101
0.29,234,101
0.3,250,101
0.31,276,101
0.32,331,101
0.33,325,101
0.34,331,101
0.35,383,101
0.36,375,101
0.37,367,101
0.38,355,101
0.39,368,101
0.4,387,101
0.41,372,101
0.42,314,101
0.43,310,101
0.44,305,101
0.45,294,101
0.46,305,101
0.47,260,101
0.48,283,101
0.49,252,101
0.5,475,101
0.51,198,101
0.52,159,101
0.53,185,101
0.54,183,101
0.55,150,101
0.56,163,101
0.57,108,101
0.58,104,101
0.59,93,101
0.6,68,101
0.61,75,101
0.62,56,101
0.63,42,101
0.64,30,101
0.65,37,101
0.66,31,101
0.67,20,101
0.68,11,101
0.69,16,101
0.7,10,101
0.71,8,101
0.72,7,101
0.73,8,101
0.74,4,101
0.75,2,101
0.76,3,101
0.77,4,101
0.78,4,101
0.79,4,101
0.8,0,101
0.2,18,102
0.21,42,102
0.22,46,102
0.23,63,102
0.24,82,102
0.25,261,102
0.26,190,102
0.27,196,102
0.28,220,102
0.29,261,102
0.3,239,102
0.31,329,102
0.32,320,102
0.33,329,102
0.34,359,102
0.35,360,102
0.36,382,102
0.37,355,102
0.38,361,102
0.39,389,102
0.4,373,102
0.41,339,102
0.42,296,102
0.43,285,102
0.44,323,102
0.45,281,102
0.46,285,102
0.47,272,102
0.48,278,102
0.49,241,102
0.5,219,102
0.51,224,102
0.52,173,102
0.53,160,102
0.54,194,102
0.55,176,102
0.56,143,102
0.57,143,102
0.58,108,102
0.59,98,102
0.6,74,102
0.61,71,102
0.62,71,102
0.63,45,102
