chr,start,end,arm,gc,map,filtered.bases
chr1,4000001,8000000,1p,0.4871175,0.982009607109988,291
chr1,8000001,12000000,1p,0.48116075,0.982312701016503,0
chr1,12000001,16000000,1p,0.438798,0.874862730756187,0
chr1,16000001,20000000,1p,0.489142,0.954563389480454,373
chr1,20000001,24000000,1p,0.47467975,0.97953537525894,68
chr1,24000001,28000000,1p,0.48039825,0.967356724804319,113
chr1,28000001,32000000,1p,0.449109,0.979085582061218,299
chr1,32000001,36000000,1p,0.45720825,0.975649326979557,80
chr1,36000001,40000000,1p,0.46279625,0.980977155115652,111
chr1,40000001,44000000,1p,0.45080875,0.974379656983747,754
chr1,44000001,48000000,1p,0.45269225,0.960108639551559,98
chr1,48000001,52000000,1p,0.4087165,0.964266918179656,0
chr1,52000001,56000000,1p,0.44994975,0.97989735114823,0
chr1,56000001,60000000,1p,0.40804525,0.975310347523891,63
chr1,60000001,64000000,1p,0.3969715,0.971283600177287,0
chr1,64000001,68000000,1p,0.39635525,0.969416970971416,24
chr1,68000001,72000000,1p,0.37842975,0.96703622659148,711
chr1,72000001,76000000,1p,0.35714125,0.970912013710204,0
chr1,76000001,80000000,1p,0.37876225,0.96842800834224,134
chr1,80000001,84000000,1p,0.36137775,0.940327247958719,215
chr1,84000001,88000000,1p,0.38743725,0.968595506540719,0
chr1,88000001,92000000,1p,0.3872225,0.966308683498478,362
chr1,92000001,96000000,1p,0.40592525,0.969124148800634,75
chr1,96000001,100000000,1p,0.36509525,0.970178806223823,0
chr1,100000001,104000000,1p,0.3620955,0.952480932590402,398
chr1,104000001,108000000,1p,0.352487,0.947317076333549,13853
chr1,108000001,112000000,1p,0.42482525,0.945962707600095,995
chr1,112000001,116000000,1p,0.41717125,0.967781076472017,0
chr1,116000001,120000000,1p,0.40743375,0.961194239960521,0
chr1,128000001,132000000,1q,0,0,0
chr1,132000001,136000000,1q,0,0,0
chr1,136000001,140000000,1q,0,0,0
chr1,140000001,144000000,1q,0.10306175,0.39437133004169,12436
chr1,144000001,148000000,1q,0.37202925,0.63039047300398,319
chr1,148000001,152000000,1q,0.38629475,0.763757315420665,3296
chr1,152000001,156000000,1q,0.45225825,0.959268759381923,0
chr1,156000001,160000000,1q,0.4317815,0.961774956980748,75
chr1,160000001,164000000,1q,0.41852775,0.949542692902824,0
chr1,164000001,168000000,1q,0.4090825,0.972183133898145,63
chr1,168000001,172000000,1q,0.39041825,0.967950958023149,372
chr1,172000001,176000000,1q,0.39726775,0.95800119531607,161
chr1,176000001,180000000,1q,0.40152,0.968392508484775,0
chr1,180000001,184000000,1q,0.41889575,0.977492878598385,50
chr1,184000001,188000000,1q,0.37505675,0.965550165746572,0
chr1,188000001,192000000,1q,0.3404795,0.977899763759517,0
chr1,192000001,196000000,1q,0.35343125,0.97496679990712,0
chr1,196000001,200000000,1q,0.36089775,0.96427097827894,0
chr1,200000001,204000000,1q,0.45729075,0.972389289100117,2672
chr1,204000001,208000000,1q,0.41661175,0.94138052409099,0
chr1,208000001,212000000,1q,0.420507,0.976649179509553,493
chr1,212000001,216000000,1q,0.40464775,0.976614012839661,0
chr1,216000001,220000000,1q,0.375923,0.978712385492546,0
chr1,220000001,224000000,1q,0.40344925,0.957906557376623,249
chr1,224000001,228000000,1q,0.42975675,0.948577998236622,4942
